

秒播央视,#genre#
CCTV-1HD,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-2HD,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3HD,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-4HD,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-5HD,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-6HD,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-7HD,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-8HD,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-9HD,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-10HD,http://107.150.60.122/live/cctv10hd.m3u8
CCTV-11HD,http://107.150.60.122/live/cctv11hd.m3u8
CCTV-12HD,http://107.150.60.122/live/cctv12hd.m3u8
CCTV-13HD,http://107.150.60.122/live/cctv13hd.m3u8
CCTV-14HD,http://107.150.60.122/live/cctv14hd.m3u8
CCTV-15HD,http://107.150.60.122/live/cctv15hd.m3u8
CCTV-16HD,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-17HD,http://107.150.60.122/live/cctv17hd.m3u8
CCTV-5+HD,http://107.150.60.122/live/cctv5p.m3u8
CCTV-4K超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K超高清,http://107.150.60.122/live/cctv8k.m3u8
湖南卫视HD,http://107.150.60.122/live/hnwshd.m3u8
东方卫视HD,http://107.150.60.122/live/dfwshd.m3u8
浙江卫视HD,http://107.150.60.122/live/zjwshd.m3u8
江苏卫视HD,http://107.150.60.122/live/jswshd.m3u8
重庆卫视HD,http://107.150.60.122/live/cqwshd.m3u8
东南卫视HD,http://107.150.60.122/live/dnwshd.m3u8
广西卫视HD,http://107.150.60.122/live/gxwshd.m3u8
湖北卫视HD,http://107.150.60.122/live/hbwshd.m3u8
辽宁卫视HD,http://107.150.60.122/live/lnwshd.m3u8
山东卫视HD,http://107.150.60.122/live/sdwshd.m3u8
天津卫视HD,http://107.150.60.122/live/tjwshd.m3u8
陕西卫视HD,http://107.150.60.122/live/snwshd.m3u8
广东卫视HD,http://107.150.60.122/live/gdwshd.m3u8
深圳卫视HD,http://107.150.60.122/live/szwshd.m3u8
青海卫视,http://107.150.60.122/live/qhws.m3u8
西藏卫视,http://107.150.60.122/live/xzws.m3u8
大湾区卫视,http://107.150.60.122/live/nfws.m3u8
CCTV-央视文化精品,http://107.150.60.122/live/ysjp.m3u8
CCTV-卫生健康,http://107.150.60.122/live/wsjk.m3u8
北京卡酷少儿,http://107.150.60.122/live/btvkk.m3u8
中央新影-发现之旅,http://107.150.60.122/live/fxzl.m3u8
中央新影-老故事,http://107.150.60.122/live/lgs.m3u8
中国教育3,http://107.150.60.122/live/cetv3.m3u8
广东珠江,http://107.150.60.122/live/gdzj.m3u8
广东体育,http://107.150.60.122/live/gdty.m3u8
广东新闻,http://107.150.60.122/live/gdxw.m3u8
广西影视,http://107.150.60.122/live/gxys.m3u8
广西综艺旅游,http://107.150.60.122/live/gxzy.m3u8
广西都市,http://107.150.60.122/live/gxds.m3u8
广西新闻,http://107.150.60.122/live/gxxw.m3u8
广西国际,http://107.150.60.122/live/gxgj.m3u8
湖北综合,http://107.150.60.122/live/hbzh.m3u8
湖北经视,http://107.150.60.122/live/hbjs.m3u8
湖北影视,http://107.150.60.122/live/hbys.m3u8
湖北教育,http://107.150.60.122/live/hbjy.m3u8
湖北垄上,http://107.150.60.122/live/hbls.m3u8
湖北生活,http://107.150.60.122/live/hbty.m3u8
湖南娱乐,http://107.150.60.122/live/hnyl.m3u8
湖南教育,http://107.150.60.122/live/hnjy.m3u8
吉林都市,http://107.150.60.122/live/jlds.m3u8
吉林综艺文化,http://107.150.60.122/live/jlfz.m3u8
吉林生活,http://107.150.60.122/live/jlsh.m3u8
新疆汉语影视,http://107.150.60.122/live/xjtv6.m3u8
江西少儿家庭,http://107.150.60.122/live/jxtv6.m3u8
江西新闻频道,http://107.150.60.122/live/jxtv7.m3u8


🇨🇳港台电影,#genre#
成龙电影,http://107.150.60.122/live/lbcl.m3u8
周润发电影,http://107.150.60.122/live/lbzrf.m3u8
周星驰电影,http://107.150.60.122/live/lbzxc.m3u8
林正英影院,http://107.150.60.122/live/lblzy.m3u8


SPOTV,http://iptv.4666888.xyz/iptv2A.php?id=2
SPOTV2,http://iptv.4666888.xyz/iptv2A.php?id=1
astroFootball,http://iptv.4666888.xyz/iptv2A.php?id=4
TntSports3,http://iptv.4666888.xyz/iptv2A.php?id=3
wwwe,http://iptv.4666888.xyz/iptv2A.php?id=5
博斯運動1,http://iptv.4666888.xyz/iptv2A.php?id=6
鳳凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
TVB翡翠,http://iptv.4666888.xyz/iptv2A.php?id=34
TVB翡翠(馬來),http://iptv.4666888.xyz/iptv2A.php?id=28
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
千禧经典,http://iptv.4666888.xyz/iptv2A.php?id=22
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
HOY78,http://iptv.4666888.xyz/iptv2A.php?id=31
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
TVB娱乐新闻,http://iptv.4666888.xyz/iptv2A.php?id=36
MYTV黃金翡翠,http://iptv.4666888.xyz/iptv2A.php?id=32
